"","X","age","job","marital","education","default","balance","housing","loan","contact","day","month","duration","campaign","pdays","previous","poutcome","y"
"256",3816,37,"management","single","tertiary","no",102,"yes","no","cellular",6,"may",445,1,258,2,"failure",1
"257",2242,51,"management","divorced","tertiary","no",2011,"yes","no","cellular",20,"nov",118,3,-1,0,"unknown",0
"258",3470,34,"blue-collar","single","secondary","no",381,"yes","no","cellular",29,"jan",83,1,262,1,"failure",0
"259",3303,29,"technician","single","secondary","no",142,"yes","yes","unknown",20,"jun",312,2,-1,0,"unknown",0
"260",1489,38,"unemployed","divorced","secondary","no",0,"yes","no","unknown",30,"may",281,4,-1,0,"unknown",0
"261",3568,34,"management","married","tertiary","no",573,"no","no","cellular",10,"aug",122,1,-1,0,"unknown",0
"262",2940,38,"technician","divorced","secondary","no",1333,"yes","yes","unknown",28,"may",188,1,-1,0,"unknown",0
"263",1485,33,"management","single","secondary","no",219,"yes","no","cellular",18,"may",19,4,-1,0,"unknown",0
"264",1166,58,"unemployed","divorced","primary","no",414,"no","no","cellular",29,"jan",267,1,-1,0,"unknown",0
"265",285,38,"technician","married","secondary","no",217,"no","yes","cellular",16,"jul",93,3,-1,0,"unknown",0
"266",2585,29,"blue-collar","married","primary","no",201,"yes","no","cellular",27,"mar",101,12,-1,0,"unknown",0
"267",2517,50,"blue-collar","married","primary","no",0,"no","no","unknown",5,"may",233,3,-1,0,"unknown",0
"268",409,41,"blue-collar","married","secondary","no",140,"yes","no","unknown",6,"may",311,3,-1,0,"unknown",0
"269",13,42,"management","divorced","secondary","no",317,"yes","no","cellular",20,"apr",136,3,-1,0,"unknown",0
"270",2961,32,"self-employed","single","secondary","no",-616,"yes","no","cellular",11,"may",74,1,-1,0,"unknown",0
"271",183,34,"technician","single","secondary","yes",-2,"no","yes","cellular",8,"jul",283,1,-1,0,"unknown",0
"272",1915,38,"technician","single","secondary","no",275,"yes","no","cellular",28,"jan",52,1,-1,0,"unknown",0
"273",1980,52,"blue-collar","married","primary","no",1401,"no","no","cellular",26,"aug",77,8,-1,0,"unknown",0
"274",1624,49,"management","married","tertiary","no",414,"yes","no","unknown",5,"jun",155,3,-1,0,"unknown",0
"275",2052,43,"housemaid","married","secondary","no",2220,"no","no","cellular",27,"aug",177,3,-1,0,"unknown",0
"276",459,55,"technician","married","secondary","no",55,"no","yes","cellular",28,"aug",19,17,-1,0,"unknown",0
"277",3874,63,"retired","married","primary","no",0,"no","no","cellular",20,"aug",110,2,-1,0,"unknown",0
"278",2749,41,"management","married","tertiary","no",1495,"yes","no","cellular",19,"nov",210,2,-1,0,"unknown",0
"279",3944,32,"management","divorced","tertiary","no",530,"yes","no","cellular",2,"jun",118,1,60,1,"failure",0
"280",3761,29,"technician","married","secondary","no",655,"yes","no","cellular",3,"feb",225,3,270,2,"failure",0
"281",3253,32,"management","married","tertiary","no",7743,"no","no","cellular",20,"aug",358,3,-1,0,"unknown",0
"282",240,35,"admin.","divorced","secondary","no",1803,"no","no","cellular",28,"jan",61,2,-1,0,"unknown",0
"283",813,36,"management","single","tertiary","no",900,"no","no","cellular",6,"aug",499,4,-1,0,"unknown",0
"284",3690,37,"blue-collar","married","secondary","no",-97,"yes","no","unknown",5,"jun",135,2,-1,0,"unknown",0
"285",1997,30,"technician","married","secondary","no",-146,"yes","yes","cellular",18,"may",167,1,-1,0,"unknown",0
"286",1815,27,"services","single","secondary","no",-20,"no","no","unknown",16,"may",757,6,-1,0,"unknown",0
"287",1286,38,"management","divorced","tertiary","no",162,"no","no","cellular",25,"aug",323,4,-1,0,"unknown",0
"288",3570,32,"technician","married","secondary","no",1026,"no","no","cellular",28,"aug",94,3,-1,0,"unknown",0
"289",3913,38,"blue-collar","married","secondary","no",1391,"yes","no","telephone",5,"jun",614,2,-1,0,"unknown",0
"290",342,39,"blue-collar","married","secondary","no",0,"yes","no","cellular",13,"may",513,3,176,2,"failure",0
"291",896,57,"technician","married","tertiary","no",2887,"yes","no","cellular",11,"feb",123,1,-1,0,"unknown",0
"292",3694,37,"management","single","tertiary","no",688,"no","no","cellular",18,"aug",95,3,174,5,"failure",0
"293",1277,38,"blue-collar","single","primary","yes",-129,"yes","no","cellular",24,"jul",138,2,-1,0,"unknown",0
"294",3097,47,"blue-collar","married","primary","no",362,"yes","no","cellular",18,"aug",111,8,-1,0,"unknown",0
"295",2093,58,"admin.","married","secondary","no",826,"no","no","unknown",12,"jun",885,1,-1,0,"unknown",1
"296",1104,39,"management","married","tertiary","no",5142,"no","no","cellular",3,"jun",157,1,-1,0,"unknown",0
"297",3309,32,"blue-collar","single","secondary","yes",-575,"yes","no","cellular",14,"may",24,6,346,9,"failure",0
"298",278,32,"blue-collar","single","secondary","no",1415,"yes","no","cellular",17,"apr",645,1,345,1,"failure",0
"299",2993,33,"blue-collar","married","secondary","no",745,"yes","no","unknown",23,"may",115,4,-1,0,"unknown",0
"300",562,60,"retired","married","primary","no",-382,"yes","no","unknown",26,"may",140,2,-1,0,"unknown",0
"301",3817,35,"management","single","tertiary","no",252,"yes","no","cellular",8,"aug",89,2,-1,0,"unknown",0
"302",519,52,"management","married","tertiary","no",1356,"yes","no","cellular",4,"may",312,2,-1,0,"unknown",0
"303",357,31,"entrepreneur","single","tertiary","no",206,"no","no","cellular",15,"jun",88,2,-1,0,"unknown",0
"304",3084,51,"services","married","unknown","no",518,"no","no","unknown",5,"jun",312,3,-1,0,"unknown",0
"305",207,21,"student","single","secondary","no",1746,"no","no","cellular",21,"aug",487,2,-1,0,"unknown",0
"306",2917,29,"blue-collar","married","secondary","no",246,"yes","no","cellular",28,"jul",194,5,-1,0,"unknown",0
"307",2812,57,"blue-collar","married","primary","no",1236,"no","no","unknown",18,"jun",152,9,-1,0,"unknown",0
"308",1227,32,"services","married","secondary","no",0,"yes","no","cellular",25,"jul",83,10,-1,0,"unknown",0
"309",2112,43,"technician","single","tertiary","yes",0,"no","no","cellular",29,"aug",73,4,-1,0,"unknown",0
"310",1350,29,"management","single","secondary","no",0,"no","yes","cellular",21,"jul",463,2,-1,0,"unknown",0
"311",3445,60,"housemaid","married","primary","no",2580,"no","no","telephone",4,"may",15,5,-1,0,"unknown",0
"312",3408,39,"management","married","tertiary","no",575,"no","no","unknown",6,"jun",109,1,-1,0,"unknown",0
"313",1303,46,"blue-collar","married","primary","no",-287,"yes","no","unknown",30,"may",113,3,-1,0,"unknown",0
"314",3312,32,"admin.","single","secondary","no",613,"yes","no","cellular",2,"feb",88,1,-1,0,"unknown",0
"315",1551,37,"management","single","tertiary","no",7179,"yes","no","unknown",6,"jun",31,8,-1,0,"unknown",0
"316",1138,29,"management","single","tertiary","no",308,"no","no","cellular",4,"aug",313,1,-1,0,"unknown",0
"317",3009,41,"entrepreneur","married","secondary","no",707,"no","no","unknown",18,"jun",707,1,-1,0,"unknown",1
"318",1451,42,"admin.","single","secondary","no",164,"yes","yes","unknown",22,"oct",80,1,-1,0,"unknown",0
"319",2398,55,"services","married","secondary","no",283,"yes","no","unknown",19,"may",156,1,-1,0,"unknown",0
"320",3138,58,"retired","married","secondary","no",4725,"no","no","cellular",5,"aug",241,1,-1,0,"unknown",0
"321",2681,30,"technician","single","secondary","no",846,"no","no","cellular",2,"nov",75,2,-1,0,"unknown",0
"322",2142,33,"admin.","married","secondary","no",56,"no","no","cellular",5,"feb",74,2,-1,0,"unknown",0
"323",1666,57,"admin.","married","secondary","no",1275,"no","yes","cellular",15,"jul",377,4,-1,0,"unknown",0
"324",2977,41,"technician","married","secondary","no",2039,"no","no","cellular",25,"aug",160,4,-1,0,"unknown",0
"325",537,56,"retired","married","primary","no",122,"no","yes","cellular",9,"jul",145,1,-1,0,"unknown",0
"326",1198,59,"housemaid","married","primary","no",0,"no","yes","telephone",28,"jul",40,2,-1,0,"unknown",0
"327",3965,33,"blue-collar","single","secondary","no",1211,"yes","no","cellular",15,"may",39,1,361,4,"failure",0
"328",3423,51,"management","single","tertiary","no",5341,"no","no","cellular",30,"apr",184,2,-1,0,"unknown",0
"329",3558,44,"entrepreneur","divorced","tertiary","no",316,"yes","no","cellular",18,"nov",244,1,-1,0,"unknown",0
"330",3822,29,"services","single","secondary","no",102,"no","no","cellular",12,"jul",154,1,182,5,"failure",0
"331",841,58,"admin.","married","secondary","no",0,"no","no","cellular",27,"aug",503,13,-1,0,"unknown",0
"332",1583,35,"blue-collar","married","secondary","no",73,"no","no","unknown",9,"may",134,3,-1,0,"unknown",0
"333",2762,29,"blue-collar","divorced","secondary","no",0,"yes","no","unknown",25,"jun",281,3,-1,0,"unknown",0
"334",980,38,"entrepreneur","married","tertiary","no",227,"yes","no","cellular",4,"feb",89,1,209,1,"failure",0
"335",3367,42,"services","married","secondary","no",0,"yes","no","unknown",7,"may",132,3,-1,0,"unknown",0
"336",1916,44,"services","married","primary","no",1161,"yes","no","cellular",19,"nov",402,1,184,5,"failure",0
"337",995,31,"unemployed","married","secondary","no",31,"yes","no","cellular",15,"jul",211,6,-1,0,"unknown",0
"338",2660,37,"blue-collar","married","primary","no",3051,"no","no","cellular",14,"may",386,4,-1,0,"unknown",0
"339",3892,41,"services","married","secondary","no",572,"yes","no","cellular",11,"may",188,1,-1,0,"unknown",0
"340",247,39,"blue-collar","single","tertiary","no",172,"yes","no","cellular",10,"aug",248,1,131,1,"success",0
"341",2473,65,"unknown","married","unknown","no",4717,"no","no","telephone",6,"aug",256,1,-1,0,"unknown",1
"342",1133,49,"blue-collar","married","primary","no",3767,"yes","no","unknown",23,"may",493,13,-1,0,"unknown",0
"343",3974,58,"retired","married","secondary","no",919,"yes","yes","cellular",30,"apr",329,2,346,2,"failure",0
"344",1321,36,"student","married","tertiary","no",408,"no","no","unknown",20,"jun",112,3,-1,0,"unknown",0
"345",1518,34,"technician","married","secondary","no",367,"yes","no","unknown",6,"may",140,1,-1,0,"unknown",0
"346",1042,43,"technician","married","secondary","no",422,"yes","no","cellular",12,"may",181,2,300,1,"failure",0
"347",3998,56,"technician","married","secondary","no",589,"yes","no","cellular",18,"nov",208,1,26,3,"success",0
"348",1617,53,"management","married","tertiary","no",6525,"yes","no","unknown",2,"jun",73,3,-1,0,"unknown",0
"349",58,35,"blue-collar","married","secondary","no",11,"no","no","unknown",3,"jun",32,3,-1,0,"unknown",0
"350",2371,32,"technician","single","tertiary","no",696,"no","yes","cellular",30,"apr",270,2,293,2,"failure",0
"351",2834,39,"technician","married","secondary","no",61,"no","no","cellular",19,"aug",339,2,-1,0,"unknown",0
"352",1150,33,"management","single","tertiary","no",1345,"yes","no","cellular",29,"jan",257,1,262,3,"failure",0
"353",1850,30,"management","single","tertiary","no",-58,"no","yes","cellular",19,"aug",15,18,-1,0,"unknown",0
"354",1934,36,"blue-collar","married","unknown","no",17983,"yes","no","unknown",20,"may",100,1,-1,0,"unknown",0
"355",2636,47,"admin.","married","secondary","no",0,"no","no","cellular",9,"apr",159,1,-1,0,"unknown",0
"356",1749,38,"self-employed","married","secondary","no",581,"yes","no","cellular",4,"feb",281,5,-1,0,"unknown",0
"357",1274,34,"technician","married","secondary","no",173,"no","no","unknown",4,"jul",31,1,-1,0,"unknown",0
"358",1949,36,"services","single","secondary","no",1482,"yes","no","cellular",18,"nov",177,2,174,1,"other",0
"359",3887,28,"services","divorced","secondary","no",6,"yes","yes","cellular",5,"may",211,2,278,23,"other",0
"360",1298,39,"services","married","secondary","yes",-697,"yes","no","cellular",31,"jul",423,2,-1,0,"unknown",0
"361",1601,37,"technician","married","tertiary","no",905,"yes","no","cellular",25,"aug",111,7,-1,0,"unknown",0
"362",978,38,"admin.","single","secondary","no",4803,"no","no","cellular",16,"jul",129,2,182,2,"success",0
"363",78,37,"blue-collar","married","unknown","no",897,"yes","no","cellular",13,"apr",119,2,280,2,"failure",0
"364",1402,58,"management","married","tertiary","no",1394,"no","no","cellular",17,"aug",628,1,83,1,"other",0
"365",2846,33,"blue-collar","married","primary","no",163,"yes","no","unknown",20,"may",135,1,-1,0,"unknown",0
"366",2615,35,"technician","divorced","secondary","no",787,"yes","no","unknown",5,"may",683,2,-1,0,"unknown",0
"367",3740,39,"blue-collar","married","primary","no",476,"yes","no","cellular",12,"may",212,1,349,4,"failure",0
"368",3440,55,"blue-collar","married","primary","no",663,"yes","no","cellular",6,"may",230,1,-1,0,"unknown",0
"369",1794,42,"self-employed","married","tertiary","no",5,"yes","no","unknown",13,"may",853,1,-1,0,"unknown",0
"370",913,34,"management","single","secondary","no",0,"no","no","cellular",22,"aug",132,4,-1,0,"unknown",0
"371",944,59,"admin.","married","secondary","no",2552,"no","yes","cellular",5,"aug",125,3,-1,0,"unknown",0
"372",2652,41,"admin.","single","tertiary","no",1455,"yes","no","unknown",30,"may",87,1,-1,0,"unknown",0
"373",3273,37,"blue-collar","married","primary","no",2378,"yes","no","unknown",9,"may",460,2,-1,0,"unknown",0
"374",23,44,"retired","married","secondary","no",2692,"no","no","unknown",12,"jun",583,1,-1,0,"unknown",0
"375",528,57,"technician","married","primary","no",0,"no","no","unknown",5,"jun",58,8,-1,0,"unknown",0
"376",1790,50,"blue-collar","married","secondary","no",2013,"no","yes","cellular",22,"jul",226,1,-1,0,"unknown",0
"377",3197,38,"services","single","secondary","no",0,"yes","no","unknown",27,"may",166,2,-1,0,"unknown",0
"378",1233,48,"management","married","tertiary","no",0,"no","yes","cellular",19,"feb",204,4,182,1,"success",1
"379",19,35,"management","single","tertiary","no",361,"yes","no","cellular",11,"aug",169,2,-1,0,"unknown",0
"380",612,51,"blue-collar","married","primary","no",109,"yes","no","unknown",27,"may",106,2,-1,0,"unknown",0
"381",2742,36,"admin.","divorced","primary","no",1127,"yes","no","cellular",17,"apr",625,3,-1,0,"unknown",0
"382",3931,30,"admin.","single","secondary","no",270,"no","no","cellular",9,"feb",123,1,-1,0,"unknown",1
"383",3295,25,"technician","single","secondary","no",-80,"yes","yes","unknown",3,"jun",89,1,-1,0,"unknown",0
"384",2876,53,"entrepreneur","married","secondary","no",111,"yes","no","unknown",15,"may",750,2,-1,0,"unknown",0
"385",1864,47,"services","married","secondary","no",2,"no","yes","cellular",21,"jul",71,15,-1,0,"unknown",0
"386",3539,51,"unknown","married","unknown","no",1585,"no","no","telephone",30,"oct",152,4,-1,0,"unknown",0
"387",2471,55,"self-employed","married","primary","no",325,"no","no","cellular",26,"mar",439,4,-1,0,"unknown",0
"388",1578,45,"blue-collar","married","primary","no",419,"no","no","cellular",18,"aug",113,4,-1,0,"unknown",0
"389",203,55,"housemaid","married","primary","no",136,"yes","no","unknown",19,"jun",15,10,-1,0,"unknown",0
"390",3778,55,"management","married","primary","no",1446,"no","no","unknown",17,"jun",135,1,-1,0,"unknown",0
"391",104,59,"admin.","married","secondary","no",-797,"no","yes","cellular",17,"jul",225,3,-1,0,"unknown",0
"392",1989,41,"management","married","primary","no",2592,"yes","no","unknown",19,"may",500,3,-1,0,"unknown",0
"393",2311,53,"management","married","tertiary","no",57,"no","yes","cellular",19,"nov",84,3,-1,0,"unknown",0
"394",2439,40,"blue-collar","divorced","unknown","no",2357,"no","no","unknown",18,"jun",66,3,-1,0,"unknown",0
"395",2331,37,"admin.","married","tertiary","no",1988,"no","no","cellular",17,"nov",397,2,-1,0,"unknown",0
"396",1526,51,"management","married","secondary","no",335,"no","no","cellular",22,"apr",234,1,-1,0,"unknown",0
"397",3425,35,"management","married","tertiary","no",38,"no","no","cellular",26,"aug",194,8,-1,0,"unknown",0
"398",666,58,"blue-collar","married","primary","no",630,"yes","no","cellular",19,"nov",59,1,174,1,"failure",0
"399",2996,35,"technician","married","secondary","no",723,"no","no","cellular",2,"feb",324,1,-1,0,"unknown",0
"400",1630,40,"management","single","tertiary","no",171,"no","no","cellular",19,"aug",1241,3,-1,0,"unknown",0
"401",1953,38,"management","single","tertiary","no",889,"no","no","unknown",19,"may",197,4,-1,0,"unknown",0
"402",67,42,"blue-collar","married","secondary","no",3,"yes","no","telephone",20,"nov",47,1,190,1,"failure",0
"403",3335,61,"retired","married","tertiary","no",2557,"yes","no","cellular",11,"aug",139,3,190,1,"success",1
"404",3587,29,"management","married","tertiary","no",361,"yes","yes","cellular",28,"jul",819,3,-1,0,"unknown",0
"405",3389,30,"blue-collar","married","secondary","no",294,"yes","yes","unknown",16,"jun",50,3,-1,0,"unknown",0
"406",33,31,"blue-collar","married","primary","no",50,"yes","no","unknown",8,"may",300,2,-1,0,"unknown",0
"407",1808,31,"services","single","secondary","no",211,"no","no","cellular",29,"jan",226,2,-1,0,"unknown",0
"408",1424,37,"blue-collar","single","primary","no",0,"no","no","unknown",5,"jun",39,1,-1,0,"unknown",0
"409",291,25,"student","single","secondary","no",319,"yes","no","cellular",20,"apr",48,3,-1,0,"unknown",0
"410",2774,27,"entrepreneur","married","tertiary","no",79,"yes","yes","cellular",13,"may",201,1,369,3,"failure",0
"411",939,41,"technician","married","tertiary","no",816,"yes","yes","cellular",13,"apr",520,2,319,1,"failure",0
"412",3174,36,"technician","married","secondary","no",1731,"yes","yes","unknown",28,"may",207,1,-1,0,"unknown",0
"413",3947,28,"student","married","tertiary","no",803,"yes","no","cellular",25,"may",324,1,-1,0,"unknown",0
"414",1459,58,"retired","married","tertiary","no",324,"no","no","unknown",20,"jun",13,4,-1,0,"unknown",0
"415",3366,27,"services","married","secondary","no",58,"yes","no","cellular",7,"may",113,1,337,2,"other",0
"416",2850,42,"admin.","divorced","secondary","no",490,"yes","no","cellular",8,"nov",212,1,97,5,"other",0
"417",1683,34,"technician","divorced","secondary","no",2036,"yes","yes","unknown",20,"may",104,1,-1,0,"unknown",0
"418",3165,59,"unemployed","married","tertiary","no",279,"no","no","unknown",20,"jun",41,1,-1,0,"unknown",0
"419",3639,39,"technician","married","secondary","no",597,"yes","no","unknown",21,"may",298,2,-1,0,"unknown",0
"420",2542,41,"housemaid","single","secondary","no",231,"no","no","cellular",9,"jul",76,2,-1,0,"unknown",0
"421",3633,56,"services","married","secondary","no",17,"no","yes","cellular",25,"aug",342,5,-1,0,"unknown",0
"422",781,31,"technician","married","secondary","no",6890,"yes","no","unknown",12,"may",34,1,-1,0,"unknown",0
"423",996,72,"retired","married","primary","no",4657,"no","no","cellular",22,"dec",305,3,309,5,"success",1
"424",2910,31,"management","married","tertiary","no",4761,"yes","no","unknown",20,"may",239,2,-1,0,"unknown",0
"425",329,35,"technician","married","secondary","no",712,"yes","yes","cellular",22,"aug",97,5,-1,0,"unknown",0
"426",1070,48,"blue-collar","married","primary","no",492,"no","yes","cellular",21,"aug",139,2,-1,0,"unknown",0
"427",2352,40,"management","married","tertiary","no",710,"yes","no","cellular",5,"may",266,1,298,2,"failure",0
"428",434,49,"management","married","tertiary","no",489,"yes","no","cellular",6,"may",65,1,358,1,"failure",0
"429",2292,37,"services","married","secondary","no",812,"yes","yes","cellular",11,"may",184,2,-1,0,"unknown",0
"430",3610,32,"admin.","divorced","secondary","no",-19,"yes","no","unknown",30,"may",97,2,-1,0,"unknown",0
"431",141,27,"admin.","married","secondary","no",639,"no","yes","cellular",14,"jul",243,3,-1,0,"unknown",0
"432",116,39,"blue-collar","single","primary","no",1220,"no","no","telephone",10,"jul",148,20,-1,0,"unknown",0
"433",1199,31,"management","married","secondary","no",625,"yes","no","cellular",7,"apr",424,1,138,1,"failure",0
"434",271,46,"management","married","tertiary","no",0,"yes","no","cellular",17,"dec",155,1,199,2,"failure",0
"435",3,32,"management","single","unknown","no",3044,"yes","no","unknown",2,"jun",651,1,-1,0,"unknown",0
"436",1039,46,"housemaid","divorced","secondary","no",154,"no","no","unknown",9,"jun",79,1,-1,0,"unknown",0
"437",448,59,"unemployed","single","primary","no",7724,"no","no","cellular",21,"nov",373,3,-1,0,"unknown",1
"438",405,31,"admin.","single","secondary","no",6042,"yes","no","unknown",19,"may",228,1,-1,0,"unknown",0
"439",1014,47,"self-employed","married","tertiary","no",4543,"yes","no","unknown",14,"may",162,1,-1,0,"unknown",0
"440",1613,55,"admin.","married","primary","no",319,"no","no","cellular",21,"nov",124,3,-1,0,"unknown",0
"441",536,35,"blue-collar","single","primary","no",246,"no","no","cellular",14,"may",157,2,345,5,"failure",0
"442",2981,38,"services","married","secondary","no",123,"yes","yes","telephone",16,"jul",202,6,-1,0,"unknown",0
"443",605,38,"admin.","married","tertiary","no",605,"no","no","cellular",18,"nov",147,2,-1,0,"unknown",0
"444",1573,39,"blue-collar","married","secondary","no",293,"yes","no","unknown",23,"may",160,3,-1,0,"unknown",0
"445",643,29,"blue-collar","single","secondary","no",314,"yes","no","cellular",9,"apr",161,1,316,2,"other",0
"446",2704,50,"blue-collar","single","tertiary","no",218,"no","no","cellular",28,"jan",268,1,-1,0,"unknown",0
"447",1412,34,"management","single","tertiary","no",1049,"yes","no","cellular",11,"jul",55,1,-1,0,"unknown",0
"448",1847,31,"technician","single","secondary","no",137,"no","no","cellular",27,"aug",27,14,-1,0,"unknown",0
"449",2581,39,"blue-collar","married","secondary","no",94,"yes","yes","cellular",19,"nov",181,1,-1,0,"unknown",0
"450",1678,35,"technician","married","tertiary","no",416,"no","no","cellular",11,"aug",591,4,-1,0,"unknown",0
"451",3163,32,"blue-collar","married","secondary","yes",-53,"yes","no","cellular",16,"apr",648,1,272,1,"other",1
"452",870,57,"services","divorced","secondary","no",14,"no","yes","cellular",22,"jul",445,2,-1,0,"unknown",0
"453",2773,54,"admin.","divorced","secondary","no",912,"yes","no","unknown",19,"may",258,1,-1,0,"unknown",0
"454",3229,37,"management","single","secondary","no",0,"yes","yes","cellular",2,"apr",450,2,-1,0,"unknown",0
"455",1407,53,"technician","divorced","secondary","no",522,"yes","no","unknown",14,"may",230,1,-1,0,"unknown",0
"456",3233,44,"self-employed","married","tertiary","no",430,"yes","no","cellular",11,"jul",221,2,-1,0,"unknown",0
"457",594,42,"technician","married","secondary","no",1066,"no","no","cellular",26,"may",125,1,104,3,"success",0
"458",2026,32,"technician","single","secondary","no",0,"no","no","cellular",22,"aug",114,2,-1,0,"unknown",0
"459",470,43,"admin.","single","secondary","no",386,"no","no","cellular",12,"oct",242,1,92,4,"success",0
"460",204,52,"unknown","married","secondary","no",142,"no","no","cellular",25,"aug",112,6,-1,0,"unknown",0
"461",1633,31,"management","single","tertiary","no",385,"yes","no","unknown",21,"may",304,1,-1,0,"unknown",0
"462",2067,49,"management","married","tertiary","no",5613,"no","no","cellular",20,"jul",258,3,-1,0,"unknown",0
"463",3516,32,"technician","single","secondary","no",1179,"no","no","telephone",29,"aug",116,2,-1,0,"unknown",0
"464",1175,47,"blue-collar","divorced","primary","no",409,"yes","no","cellular",13,"may",143,2,364,1,"other",0
"465",3697,38,"blue-collar","married","primary","no",1401,"no","no","cellular",13,"may",516,1,-1,0,"unknown",1
"466",428,23,"technician","single","secondary","no",1587,"yes","yes","cellular",14,"may",502,2,-1,0,"unknown",0
"467",3396,40,"technician","single","secondary","yes",45,"no","yes","cellular",29,"jan",261,1,182,23,"other",0
"468",1433,69,"retired","married","secondary","no",148,"no","no","telephone",4,"sep",101,1,-1,0,"unknown",0
"469",3890,29,"blue-collar","married","secondary","no",0,"yes","no","cellular",11,"may",116,6,-1,0,"unknown",0
"470",3245,33,"technician","single","secondary","no",7108,"no","yes","cellular",21,"nov",255,1,-1,0,"unknown",0
"471",2296,45,"technician","married","secondary","no",2124,"yes","no","unknown",30,"may",84,3,-1,0,"unknown",0
"472",2305,30,"management","single","tertiary","no",1130,"yes","no","unknown",14,"may",138,3,-1,0,"unknown",0
"473",3179,31,"services","married","secondary","no",2423,"yes","yes","cellular",11,"may",88,3,362,1,"other",0
"474",3964,47,"management","married","tertiary","no",33,"yes","yes","unknown",20,"jun",14,25,-1,0,"unknown",0
"475",1801,35,"technician","married","secondary","no",14,"yes","no","telephone",18,"nov",23,1,-1,0,"unknown",0
"476",2362,31,"technician","married","tertiary","no",0,"no","no","cellular",29,"aug",70,2,-1,0,"unknown",0
"477",500,33,"admin.","single","tertiary","no",1371,"yes","no","cellular",5,"may",362,1,-1,0,"unknown",0
"478",3322,49,"technician","married","secondary","no",1712,"yes","no","cellular",30,"jul",155,3,-1,0,"unknown",0
"479",2482,28,"management","single","tertiary","no",20,"no","no","cellular",28,"jan",144,2,-1,0,"unknown",0
"480",2732,39,"services","married","secondary","no",150,"no","no","unknown",12,"jun",243,2,-1,0,"unknown",0
"481",3343,46,"services","married","secondary","no",9077,"yes","no","cellular",17,"apr",427,2,337,1,"failure",0
"482",3006,53,"self-employed","married","tertiary","no",451,"yes","no","cellular",2,"feb",125,1,249,2,"failure",0
"483",3297,29,"management","married","secondary","no",-559,"yes","yes","unknown",21,"may",485,1,-1,0,"unknown",0
"484",310,47,"housemaid","married","secondary","no",0,"no","no","cellular",20,"aug",97,3,-1,0,"unknown",0
"485",1649,77,"retired","married","secondary","no",1208,"no","no","telephone",28,"apr",72,4,-1,0,"unknown",0
"486",629,31,"management","married","tertiary","no",1755,"yes","no","unknown",21,"may",588,2,-1,0,"unknown",0
"487",275,37,"technician","married","secondary","no",1309,"yes","no","cellular",28,"aug",77,4,-1,0,"unknown",0
"488",1597,38,"services","married","tertiary","no",0,"yes","no","cellular",17,"apr",239,1,147,4,"failure",0
"489",348,31,"blue-collar","single","secondary","no",823,"no","no","unknown",26,"may",174,3,-1,0,"unknown",0
"490",2722,66,"entrepreneur","married","primary","no",0,"no","no","telephone",12,"aug",701,1,-1,0,"unknown",0
"491",496,34,"blue-collar","married","secondary","no",1412,"yes","yes","unknown",27,"may",157,2,-1,0,"unknown",0
"492",698,38,"admin.","married","tertiary","no",4399,"yes","no","unknown",20,"may",638,2,-1,0,"unknown",0
"493",2333,33,"blue-collar","married","primary","no",1050,"yes","no","unknown",26,"may",304,4,-1,0,"unknown",0
"494",3024,54,"blue-collar","married","secondary","no",466,"no","no","cellular",29,"aug",436,4,-1,0,"unknown",0
"495",88,46,"technician","married","tertiary","no",675,"yes","no","unknown",8,"may",50,1,-1,0,"unknown",0
"496",2913,47,"services","single","unknown","no",1784,"no","no","cellular",19,"oct",385,2,-1,0,"unknown",1
"497",608,48,"management","married","tertiary","no",1167,"yes","yes","cellular",26,"jan",122,4,50,4,"other",0
"498",3265,56,"blue-collar","married","secondary","no",302,"no","yes","cellular",4,"aug",378,2,-1,0,"unknown",0
"499",1946,49,"management","married","secondary","no",99,"yes","no","cellular",6,"may",687,2,343,1,"failure",1
"500",3106,44,"management","married","tertiary","no",2400,"no","no","unknown",20,"jun",82,1,-1,0,"unknown",0
"501",2622,48,"admin.","married","secondary","no",1403,"no","no","cellular",7,"aug",76,2,-1,0,"unknown",0
"502",1194,24,"admin.","single","secondary","no",770,"yes","no","unknown",16,"may",233,1,-1,0,"unknown",0
"503",3572,33,"blue-collar","married","secondary","no",4996,"yes","no","cellular",18,"may",15,9,363,2,"failure",0
"504",1774,37,"services","married","secondary","no",0,"yes","no","cellular",14,"jul",330,4,-1,0,"unknown",0
"505",3133,30,"services","married","secondary","no",44,"yes","yes","cellular",22,"jul",90,1,-1,0,"unknown",0
"506",3348,30,"technician","single","secondary","no",62,"yes","no","telephone",3,"feb",678,2,252,1,"other",0
"507",2462,45,"technician","married","secondary","no",406,"yes","no","cellular",3,"jun",240,1,307,10,"other",0
"508",2752,50,"technician","married","secondary","no",892,"yes","yes","unknown",15,"may",234,1,-1,0,"unknown",0
"509",1360,35,"management","divorced","tertiary","no",771,"yes","yes","cellular",18,"aug",221,5,-1,0,"unknown",0
"510",3442,31,"technician","married","tertiary","no",11,"no","no","cellular",27,"aug",651,2,-1,0,"unknown",0
"511",66,50,"management","married","tertiary","no",0,"no","no","unknown",11,"jun",916,1,-1,0,"unknown",0
"512",89,48,"blue-collar","married","primary","no",5154,"yes","no","unknown",14,"may",70,1,-1,0,"unknown",0
